Company Name,Company ID,Company Type,Origin,Is Subsidiary,Parent,Property Name,Also Known As,Property ID,Royalty,Equity,Controlling Ownership,Operator,Country/ Region,Country/Region Risk Score & Outlook,Development Stage,Status,Commodity(s),Primary Commodity,Primary Reserves and Resources,Unit,Total In-Situ Value ($M),Reserves & Resources As Of Date,Project Type,Coordinates,Coordinate Accuracy,Map Link,Construction Start,Production Start,Closure ,Sources/Notes
Firering Strategic Minerals Plc,1685118597,Public,United Kingdom,No,Firering Strategic Minerals Plc,Atex,,90923,,90.0,100,Firering Strategic Minerals Pl,Cote d'Ivore,2.2 Elevated,Target Outline,Active,"Lithium, Tantalum, Niobium, Gold ",Lithium,,,,,Project,"9.879310,-6.492080",Exact,,,,,
Firetail Resources Limited,1673299109,Public,Australia,No,Firetail Resources Limited,Yalgoo-Dalgaranga,"Bourkes United, Broken Mount, Carlisle, Crescent, Crescent South, Cumberland, Dalgaranga, E59/2364, E59/E2252, Goldilocks, Greencock, Johnson Well, Lithium Show, Lithium Show South, Morning Star, Mount Kersey, Olive Queen, Wadgingarra, Yalgoo",89170,,0.0,0,Firetail Resources Ltd.,Australia,1.4 Moderate,Target Outline,Active,"Lithium, Cesium, Rubidium, Niobium, Tantalum",Lithium,,,,,Project,"-28.135120, 116.723010",Exact,,,,,
Foremost Clean Energy Ltd.,139317941,Public,Canada,No,Foremost Clean Energy Ltd.,Zoro 1,"Bert, Bil Group, Dyke 1, Dyke 16, Dyke 2, Dyke 3, Dyke 5, Dyke 6, Dyke 7, Dyke 8, Green Bay, Jake, MMI, Mobile Metal Ion, Sherman, Zoro",38100,,100.0,100,Foremost Clean Energy Ltd.,Canada,1.4 Moderate,Reserves Development,Active,"Lithium, Tantalum, Niobium, Beryllium, Caesium, Rubidium, Gallium",Lithium,9800.0,tonnes,169.9,7/6/18,Project,"54.856750,-99.645340",Exact,,,,,
Foremost Clean Energy Ltd.,139317941,Public,Canada,No,Foremost Clean Energy Ltd.,Jean Lake,Beryl dyke B1,89946,,100.0,100,Foremost Clean Energy Ltd.,Canada,1.4 Moderate,Target Outline,Active,"Lithium, Gold, Caesium, Tantalum, Spodumene",Lithium,,,,,Project,"54.831660,-99.734550",Exact,,,,,
Forrestania Resources Limited,708648366,Public,Australia,No,Forrestania Resources Limited,Forrestania,"Alfa, Arcade, Bannon, Bannon South, Banon South, Bettenay, Black Prince, Bounty East, Bravo, Calypso, Charlie, Cohn, Cosmic Boy, Cosmic Boy East, Crossroads, Delta, Digger Rocks, Diggers Rock, E74/586, E74/591, E74/592, E74/627, E77/2313, E77/2345, E77/2346, E77/2348, E77/2364, E77/2575, E77/2576, E77/2637, E77/2873, E77/586, E77/591, E77/592, Earl Grey, Echo, EL 74/591, EL74/592, Ferdinand, Firefly, Foxtrot, Gem, Gemcutter, Giant, Golden Triangle, Golf, Great Southern, GS19, GSGP, Kat Gap, Kit Kat, KKGP, Lady Lila, Lady Lyons, M77/149, M77/549, ML 77/549, Mount Holland, Mount Hope, Mousetraps, Mt Holland, Mt Hope, P77/4069, P77/4325, P77/4326, Premier (Commonwealth), Prince, Rabbit Hole, Scarab, Scaramucci, South Cap East, South Iron Cap East, Teddy, Tillerson, Violet Haze, West Quest",78241,,100.0,100,Forrestania Resources Ltd.,Australia,1.4 Moderate,Reserves Development,Active,"Lithium, Nickel, Tantalum, Caesium, Gypsum, Beryllium, Gold, Spodumene, Copper",Lithium,,,47.2,12/31/16,Open Pit,"-32.188420,119.793870",Exact,,,,,
Forrestania Resources Limited,708648366,Public,Australia,No,Forrestania Resources Limited,Alexandra Bore / Breakaway Dam,"Alexandra Bore, Balarky, Breakaway Dam, E29/1036, E29/1037, E29/1158, Menzies",57301,,100.0,100,Forrestania Resources Ltd.,Australia,1.4 Moderate,Exploration,Active,"Lithium, Copper, Silver, Gold, Nickel, Caesium, Tantalum",Lithium,,,,,Project,"-29.715000,121.242000",Exact,,,,,
Frontier Lithium Inc.,880428,Public,Canada,No,Frontier Lithium Inc.,Pakeagama Lake,"Bolt, Border, Central Intermediate, CIZ, Core, Electric Avenue, Ember, Ghost Lake, Lower Intermediate, PAK, Pakeagama South-East, Pennock, Pennock Lake, Southern Wall, Spark, Spark-Ext, Stacked Aplite, UIZ, Upper Intermediate, Wall, WZ",32088,,92.5,100,Frontier Lithium Inc.,Canada,1.4 Moderate,Feasibility Started,Active,"Lithium, Tantalum, Niobium, Tin, Rubidium, Caesium, Spodumene",Lithium,881052.0,tonnes,16086.3,2/28/23,"Open Pit, Underground","52.614525,-93.365435",Exact,,,2025,,
Fury Gold Mines Limited,48675390,Public,Canada,No,Fury Gold Mines Limited,Radis,"Chou, Courgette, Navet, Radisson",91530,,100.0,100,Fury Gold Mines Ltd.,Canada,1.4 Moderate,Target Outline,Active,"Lithium, Tantalum, Caesium, Beryllium, Rubidium",Lithium,,,,,Project,"53.171810,-77.782920",Exact,,,,,
GS Caltex Corporation,22400595,Private,South Korea,Yes,GS Energy Corporation/ GS Holdings Corp.,Sal de Vida Extension,"Augustin claim, Luna Blanca claim",59728,,,0,Arcadium Lithium plc,Argentina,2.7 High,Satellite,Active,"Lithium, Potash, Potassium Chloride",Lithium,,,,,Brine,"-25.313150,-66.876700",Exact,,,,,
Galan Lithium Limited,129805235,Public,Australia,No,Galan Lithium Limited,Candelas,"Candela, Candela II, Candela III, Candela IV, Candela IX, Candela V, Candela VI, Candela VII, Candela VIII, Candela X, Candela XI, Candela XII, Candela XIII, Candela XIV, Candela XV, Candelas North",92117,,100.0,100,Galan Lithium Ltd.,Argentina,2.7 High,Prefeas/Scoping,Active,Lithium,Lithium,276900.0,tonnes,51541.4,06/22/2020,Brine,"-25.563270, -66.877770",Exact,,,2027,,
Galan Lithium Limited,129805235,Public,Australia,No,Galan Lithium Limited,Hombre Muerto West,"Argentina Gold I, Casa Del Inca, Casa Del Inca III, Casa Del Inca IV, Catalina, Deceo, Deceo I, Deceo II, Deceo lll, Del Condor, Delmira, Delmira I, Don Martin, El Deceo, El Deceo I, El Deceo II, El Deceo III, HMW, Hombre Muerto, Hombre Muerto Salar, Jazmin II, Pata Pila, Pucara, Pucara del salar, Rana de Sal, Rana de Sal I, Rana de Sal II, Rana de Sal III, Rana del Sal, Rana IV, Salar Hombre Muerto West, Santa Barbara, Santa Barbara VII, Santa Barbara VIII, Santa Barbara X, Santa Barbara XXIV",82692,,100.0,100,Galan Lithium Ltd.,Argentina,2.7 High,Construction Started,Active,Lithium,Lithium,3180000.0,tonnes,51541.4,03/26/2024,Brine,"-25.475940,-67.143680",Exact,,,2025,2064,
Galan Lithium Limited,129805235,Public,Australia,No,Galan Lithium Limited,Greenbushes,"DBSZ, Donnelly, Donnybrook –Bridgetown Shear, E40/4790, E70/4629, E70/4690, E70/4777, E70/4790, E70/5680, E70/6263, E70/6264, Fry's Block, Greenbushes South, GS11, Kirup",77621,,100.0,100,Galan Lithium Ltd.,Australia,1.4 Moderate,Target Outline,Active,Lithium,Lithium,,,,,Project,"-33.621020,116.007630",Exact,,,,,
"Ganfeng Lithium Group Co., Ltd. -",60869480,Public,China,No,"Ganfeng Lithium Group Co., Ltd. -",Cauchari-Olaroz,"Cauchari Salar, Exar",37624,,46.66,46.66,Jujuy Energia y Mineria,Argentina,2.7 High,Operating,Active,"Lithium, Potash",Lithium,9938000.0,tonnes,161075.1,5/7/19,Brine,"-23.416230,-66.713160",Exact,,,,,
"Ganfeng Lithium Group Co., Ltd. -",60869480,Public,China,No,"Ganfeng Lithium Group Co., Ltd. -",PPG,"Pastos Grandes, Pozuelos, Pozuelos-Pastos Grandes",80115,,100.0,100,Ganfeng Lithium Group,Argentina,2.7 High,Prefeas/Scoping,Active,Lithium,Lithium,2127000.0,tonnes,34474.4,4/30/23,Brine,"-24.698970,-66.817810",Exact,,,,,
"Ganfeng Lithium Group Co., Ltd. -",60869480,Public,China,No,"Ganfeng Lithium Group Co., Ltd. -",Sonora,"Buenavista, El Sauz, El Sauz 1, El Sauz 2, Fleur, Fleur 1, Hermosillo, La Joya, La Ventana, La Ventana 1, Las Perdices, Megalit, Mexalit, Mexilit, Penasco, San Gabriel, Sierra Madre, Sonora JV#2, Ventana",38320,,100.0,100,Ganfeng Lithium Group,Mexico,2.8 High,Construction Planned,Active,"Lithium, Potash",Lithium,3562000.0,tonnes,57732.9,12/12/17,"Open Pit, underground","29.713270,-109.159110",Exact,,,,,
"Ganfeng Lithium Group Co., Ltd. -",60869480,Public,China,No,"Ganfeng Lithium Group Co., Ltd. -",Mariana,"CerroCarpaI, Mina Rosa IV, PotasaII, RosaIV",37586,,100.0,100,Ganfeng Lithium Group,Argentina,2.7 High,Operating,Active,"Lithium, Potash, Borates",Lithium,3282000.0,tonnes,53194.7,6/4/21,Brine,"-24.813730,-68.307360",Exact,,,2024,,
"Ganfeng Lithium Group Co., Ltd. -",60869480,Public,China,No,"Ganfeng Lithium Group Co., Ltd. -",Goulamina,"Bara, Bogodassale-Est, Bougouni, Danaya, Dowere, Finkola, Finkola Nord, Finkola Sud, Goulamina Main, Goulamina West, Koting, Makono, N’tiola, NE Domain, Northeast Domain, PE19/25, PR 13-672 2BIS, PR 20/1081, PR 21/1125, PR 21/1126, Sabali, Sangar, Torakoro, Torokoro, Yando",77208,,100.0,100,Ganfeng Lithium Group,Mali,3.7 Very High,Commissioning,Active,"Lithium, Spodumene, Iron Ore",Lithium,3690000.0,tonnes,59807.5,5/31/24,Open Pit ,"11.346530,-7.959790",Exact,,,2024,2047,
"Ganfeng Lithium Group Co., Ltd. -",60869480,Public,China,No,"Ganfeng Lithium Group Co., Ltd. -",Zinnwald,"Altenberg, Altenberg-DL, Barenstein, Cinovec, Falkenhain, Sadisdorf, Sadisdorf DL, Zinnwald-Georgenfeld, Zinnwaldit-Lagerstatte",78556,2.0,,,Zinnwald Lithium Plc,Germany,1.7 Elevated,Feasibility Complete,Active,"Lithium, Tin, Tungsten, Potash",Lithium,1076200.0,tonnes,17443.0,6/5/24,Underground,"50.739400,13.791790",Exact,,,2026,2062,
"Ganfeng Lithium Group Co., Ltd. -",60869480,Public,China,No,"Ganfeng Lithium Group Co., Ltd. -",Qinghai Yiliping,Yiliping,88897,,49.0,49,China Minmetals Corp.,China,2.0 Elevated,Commissioning,Active,"Lithium, Potash",Lithium,1020010.0,tonnes,16532.3,12/31/21,Brine,"37.990260,93.675860",Approximate,,,,,
"Ganfeng Lithium Group Co., Ltd. -",60869480,Public,China,No,"Ganfeng Lithium Group Co., Ltd. -",Mount Marion,"Central Pit, CO1, E15/1190, E15/1478, E15/1500, Ghost Crab, L15/0220, L15/315, L15/316, L15/317, L15/321, M15/1000, M15/717, M15/999, Mt Marion, Mt Marion North, Mt. Marion, N06, North Pit",37174,,50.0,50,Mineral Resources Ltd.,Australia,1.4 Moderate,Operating,Active,"Lithium, Iron Ore, Spodumene, Magnesium",Lithium,924000.0,tonnes,14976.2,6/30/23,Open Pit,"-31.079900,121.431610",Exact,,,2016,2048,
"Ganfeng Lithium Group Co., Ltd. -",60869480,Public,China,No,"Ganfeng Lithium Group Co., Ltd. -",Vilasto,,90710,,12.5,0,Unnamed Owner,China,2.0 Elevated,Reserves Development,Active,Lithium,Lithium,574000.0,tonnes,9303.4,12/31/22,Project,"44.081110,117.444440",Exact,,,,,
"Ganfeng Lithium Group Co., Ltd. -",60869480,Public,China,No,"Ganfeng Lithium Group Co., Ltd. -",Bougouni,"Baoule, Bougouni South, Bougouni West, Boumou, Boumou North, Diendio, Dogobala, Dogobola, Fariedele, Filon B, Foulaboula, Foulalaba, Kola, Kola Sokoura, Kolassokoro, Kolossakoro, Madina, Mafele, Mafele Ouest, Mafele West, Marigo, Ngoualana, Ngouanala, Nkemene Ouest, Nkemene West, Orchard, Sogola, Sogola Nord, SogolaBaoule, Sogola‐Baoule, South Bougouni",78022,,,0,Hainan Mining Co. Ltd.,Mali,3.7 Very High,Operating,Active,"Lithium, Gold, Spodumene",Lithium,337300.0,tonnes,5467.0,11/14/23,Open Pit,"11.337960,-7.593890",Exact,,,,2025,
"Ganfeng Lithium Group Co., Ltd. -",60869480,Public,China,No,"Ganfeng Lithium Group Co., Ltd. -",Sal de la Puna,"Alma Fuerte, Almafuerte, Barreal II, Barreal III, Fortuna II, Graciela, La Relojera, Patovica I, SDLP",86787,,35.0,35,Lithium Americas (Argentina),Argentina,2.7 High,Prefeas/Scoping,Active,"Lithium, Potash",Lithium,228000.0,tonnes,3695.4,9/9/21,Project,"-24.588900,-66.604440",Exact,,,,,
"Ganfeng Lithium Group Co., Ltd. -",60869480,Public,China,No,"Ganfeng Lithium Group Co., Ltd. -",Ningdu Taiyu,"Ganzhou, Guangchng head Pei, Heyuan, Jingtai, Ningdu Heyuan",38474,,100.0,100,Ganfeng Lithium Group,China,2.0 Elevated,Expansion,Active,Lithium,Lithium,40400.0,tonnes,654.8,12/31/17,"Open Pit, Underground","26.753910,116.188430",Approximate,,,,2017,
"Ganfeng Lithium Group Co., Ltd. -",60869480,Public,China,No,"Ganfeng Lithium Group Co., Ltd. -",Avalonia,"Aclare, Aclare C, Aclare D, Ballymurphy, Blackstairs, Moylisha",40073,,79.0,79,Ganfeng Lithium Group,Ireland,1.4 Moderate,Target Outline,Active,Lithium,Lithium,,,,,Project,"52.683290,-6.748460",Exact,,,,,
"Ganfeng Lithium Group Co., Ltd. -",60869480,Public,China,No,"Ganfeng Lithium Group Co., Ltd. -",Pastos Grandes,"Aguamarca 15, Aguamarga 10, Aguamarga 19, Daniel Ramon, El Milagro, Ignacio, Ignacio IV, Jorge Eduardo, Juan Eduardo, La Union, Neptali, Neptali II, Norte Argentino, Nueva Sijesyta 01, Papadopolus LXXIV, Papadopoulos XXXII, Pozuelos, PPG 01, PPG 03, Sijesyta 01, Taba PG",77807,,14.9,0,Lithium Americas (Argentina),Argentina,2.7 High,Construction Planned,Active,"Lithium, Potash",Lithium,2127000.0,tonnes,34474.4,4/30/23,Brine,"-24.570860,-66.704590",Exact,,,,2063,
Gathoni Muchai Investments Limited,1780007628,Private,Kenya,No,Gathoni Muchai Investments Limited,Blesberg,"(NC) 940 PR, Noumas 1, Noumas I, Noumas II",78567,,70.0,70,Marula Mining PLC,South Africa,2.7 High,Expansion,Active,"Lithium, Tantalum, Caesium, Spodumene, Niobium",Lithium,,,,,Open Pit,"-28.983330,17.731210",Exact,,,,,
Global Battery Metals Ltd.,27921070,Public,Canada,No,Global Battery Metals Ltd.,Leinster,"Aghavannagh, Aughavanagh, Carriglead, Carriglead Townland, Craan, East Carlow, ECDZ, Glencullen, Killanure, Kiltealy, Knockeen, Knockeen Townland, Knocknaboley, North Leinster, North Wexford, North-West Leinster, NW Leinster, NWDZ, PL 1597, PLA 1597, PLA 3895, PLA 3896, Scurlocks, Sorrell, Tonygarrow",86011,,90.0,100,Global Battery Metals Ltd.,Ireland,1.4 Moderate,Target Outline,Active,Lithium,Lithium,,,,,Project,"52.914300,-6.429090",Exact,,,,,
Global Copper Corp.,3188729,Public,Canada,No,Global Copper Corp.,Odzi West,"Bepe, Bikita, Grey Lady, Li3, Mutare, Nels Luck, Odzi-Mutare, PL018207A, PL019039AA, PL019040A, Tals 5",83748,,,0,Premier African Minerals Ltd.,Zimbabwe,3.8 Very High,Target Outline,Active,"Lithium, Caesium, Tantalum, Beryllium, Niobium, Tin",Lithium,,,,,Project,"-19.279580,31.865760",Exact,,,,,
Global Lithium Resources Limited,708810436,Public,Australia,No,Global Lithium Resources Limited,Marble Bar,"Archer, Brockman, Brockman Creek, E45/4274, E45/4309, E45/4328, E45/4361, E45/4631, E45/4669, E45/4724, E45/5812, E45/5843, Goldilocks, Lantern, MBLP, Twin Veins",87489,,100.0,100,Global Lithium Resources Ltd.,Australia,1.4 Moderate,Exploration,Active,"Lithium, Spodumene, Gold, Tin, Tantalum, Iron Or",Lithium,180000.0,tonnes,3134.3,12/15/2022,Open Pit,"-21.076560, 119.849090",Exact,,,,,
Global Lithium Resources Limited,708810436,Public,Australia,No,Global Lithium Resources Limited,Manna,"Cardunia Rocks, E28/2522, E28/2551, E28/2552, E28/5255, Manna Central, Manna North, Manna North extension, Manna South, Manna South extension",89508,,100.0,100,Global Lithium Resources Ltd.,Australia,1.4 Moderate,Feasibility Started,Active,"Lithium, Caesium, Tantalum, Spodumene, Lanthanides, Neodymium, Praseodymium",Lithium,514000.0,tonnes,8967.2,6/12/24,Open Pit,"-30.876430,122.534470",Exact,,,2026,2036,
Golden State Mining Limited,578589361,Public,Australia,No,Golden State Mining Limited,Payne's Find,"E59/2660, E59/2661, E59/2662, E59/2679, E59/2701, Paynes Find, Paynes Find Central, Paynes Find North",90119,,100.0,100,Golden State Mining Ltd.,Australia,1.4 Moderate,Target Outline,Active,"Lithium, Rubidium, Caesium, Tantalum, Tin, Tungsten, Yttrium, Niobium",Lithium,,,,,Project,"-29.282470,117.746660",Exact,,,,,
Gondwana Resources Limited,9430655,Private,Australia,No,Gondwana Resources Limited,Lady Grey,"Avenger, E 77/2143, Earl Grey, EL77/2143, Godzilla",91429,,30.0,30,Lanthanein Resources Limited,Australia,1.4 Moderate,Target Outline,Active,"Lithium, Tantalum, Caesium, Rubidium, Niobium, Beryllium, Tin, Gold, Copper, Nickel",Lithium,,,,,Project,"-32.166090,119.703460",Exact,,,,,
Great Sandy Pty Ltd,382175732,Private,Australia,No,Great Sandy Pty Ltd,Marble Bar,"1A, 1B, 2A, 3A, E45/4669, E45/4690, E45/4700, E45/4746, E45/5970",78103,,100.0,100,Great Sandy Pty Ltd,Australia,1.4 Moderate,Target Outline,Active,"Lithium, Tantalum, Tin, Spodumene, Gold, Caesium",Lithium,,,,,Project,"-21.245770,119.914940",Exact,,,,,
Green Technology Metals Limited,1671682138,Public,Australia,No,Green Technology Metals Limited,Root Lake,"Amy, Andrea, Breanne, John, John HG, Luke, McCombe, Morrison, Nathan, Root, Root Bay, Root Bay Deeps, Root Bay East, Root Bay West, Western Hub",37725,,65.0,65,Green Technology Metals Ltd.,Canada,1.4 Moderate,Prefeas/Scoping,Active,"Lithium, Caesium, Tantalum, Spodumene, Gold",Lithium,173000.0,tonnes,2924.5,10/17/23,Open Pit,"50.937340,-91.683950",Exact,,,2031,,
"Ecopro Co., Ltd.",32429481,Public,South Korea,No,"Ecopro Co., Ltd.",Root Lake,"Amy, Andrea, Breanne, John, John HG, Luke, McCombe, Morrison, Nathan, Root, Root Bay, Root Bay Deeps, Root Bay East, Root Bay West, Western Hub",37725,,35.0,35,Green Technology Metals Ltd.,Canada,1.4 Moderate,Prefeas/Scoping,Active,"Lithium, Caesium, Tantalum, Spodumene, Gold",Lithium,173000.0,tonnes,2924.5,10/17/23,Open Pit,"50.937340,-91.683950",Exact,,,2031,,
Green Technology Metals Limited,1671682138,Public,Australia,No,Green Technology Metals Limited,Seymour Lake,"Aubry, Aubry Complex, Aubry North, Blue Bear, Central Aubry, Crescent Lake, Eastern Hub, Ferland Station Area, Forsythe, North Aubry, North Seymour, Pye, Pye East Limb, Pye West Limb, Seymour, South Aubry",32093,,65.0,65,Green Technology Metals Ltd.,Canada,1.4 Moderate,Feasibility Started,Active,"Lithium, Beryllium, Niobium, Tantalum, Spodumene, Caesium, Rubidium",Lithium,105006.0,tonnes,2019.1,11/17/23,"Open Pit, Underground","50.352180,-88.430120",Exact,,,2026,2032,
"Ecopro Co., Ltd.",32429481,Public,South Korea,No,"Ecopro Co., Ltd.",Seymour Lake,"Aubry, Aubry Complex, Aubry North, Blue Bear, Central Aubry, Crescent Lake, Eastern Hub, Ferland Station Area, Forsythe, North Aubry, North Seymour, Pye, Pye East Limb, Pye West Limb, Seymour, South Aubry",32093,,35.0,35,Green Technology Metals Ltd.,Canada,1.4 Moderate,Feasibility Started,Active,"Lithium, Beryllium, Niobium, Tantalum, Spodumene, Caesium, Rubidium",Lithium,105006.0,tonnes,2019.1,11/17/23,"Open Pit, Underground","50.352180,-88.430120",Exact,,,2026,2032,
Greenwing Resources Ltd,28223334,Public,Canada,No,Greenwing Resources Ltd,San Jorge,"Safra 1 Lik, Safra Lik, Salar, San Francisco Salar, San Jorge Oeste 1, San Jorge Oeste 2, San Jorge Oeste 3, San Jorge Oeste 4, San Jorge Salar",88872,,100.0,100,Greenwing Resources Ltd,Argentina,2.7 High,Reserves Development,Active,Lithium,Lithium,432280.0,tonnes,7006.4,05/27/2024,Project,"-26.938860,-68.121720",Exact,,,,,
Greenwing Resources Ltd,28223334,Public,Canada,No,Greenwing Resources Ltd,Millie's Reward,"Ampatsikahitra, Ilapa, Manitra, Manjaka, Marirano, Millie’s West, Millies Reward, PE 11545, PE 39808, PRE 4383, Tsarafara, Tsararano, Vietnam, Vohidahi",81609,,100.0,100,Greenwing Resources Ltd,Madagascar,2.8 High,Target Outline,Temporarily On Hold,Lithium,Lithium,,,,,Project,"-20.057140,46.954390",Exact,,,,,
Grid Metals Corp.,876346,Public,Canada,No,Grid Metals Corp.,Eagle Claims,New Manitoba,90553,,100.0,100,Grid Metals Corp.,Canada,1.4 Moderate,Target Outline,Active,"Lithium, Copper, Nickel",Lithium,,,,,Project,"50.607940, -95.486750",Exact,,,,,
Grid Metals Corp.,876346,Public,Canada,No,Grid Metals Corp.,Falcon West,"ADL, ArtDon, Lucy, Lucy North, Lucy South",90157,,100.0,100,Grid Metals Corp.,Canada,1.4 Moderate,Target Outline,Active,"Lithium, Caesium, Tantalum, rubidium",Lithium,4000.0,tonnes,64.8,12/31/1955,Project,"49.567290, -95.689440",Exact,,,,,
Grid Metals Corp.,876346,Public,Canada,No,Grid Metals Corp.,Campus Creek,Highstone Dyke,90912,,60.0,60,Grid Metals Corp.,Canada,1.4 Moderate,Target Outline,Active,Lithium,Lithium,,,,,Project,"49.307540, -85.635810",Exact,,,,,
Grounded Lithium Corp.,1760537710,Public,Canada,No,Grounded Lithium Corp.,Kindersley,KLP,91554,,25.0,25,Denison Mines Corp.,Canada,1.4 Moderate,Prefeas/Scoping,Active,Lithium,Lithium,4164337.0,tonnes,67495.6,06/30/2023,Project,"51.711350,-109.175170",Exact,,,2026,2046,
Grupo Mota,1763308645,Private,Portugal,No,Grupo Mota,Alvarroes,MNC000008,79165,,100.0,100,Grupo Mota,Portugal,1.7 Elevated,Limited Production,Active,Lithium,Lithium,51000.0,tonnes,826.6,4/11/19,Open Pit,"40.430620,-7.340100",Exact,,,,,
"Hainan Mining Co., Ltd.",46778794,Public,China,No,"Hainan Mining Co., Ltd.",Bougouni,"Baoule, Bougouni South, Bougouni West, Boumou, Boumou North, Diendio, Dogobala, Dogobola, Fariedele, Filon B, Foulaboula, Foulalaba, Kola, Kola Sokoura, Kolassokoro, Kolossakoro, Madina, Mafele, Mafele Ouest, Mafele West, Marigo, Ngoualana, Ngouanala, Nkemene Ouest, Nkemene West, Orchard, Sogola, Sogola Nord, SogolaBaoule, Sogola‐Baoule, South Bougouni",78022,,51.0,51,Hainan Mining Co. Ltd.,Mali,3.7 Very High,Preproduction - Commissioning,Active,"Lithium, Gold, Spodumene",Lithium,337300.0,tonnes,5467.0,11/14/23,Open Pit,"11.337960,-7.593890",Exact,,,,2025,
Hancock Prospecting Pty Ltd,20745172,Private,Australia,No,Hancock Prospecting Pty Ltd,Altura,"Caravan, Cleopatra, Corboy, E 45/4894, E 45/5136, E 45/5137, E 45/5280, E 45/5347, E 45/5348, E45/2277, E45/2287, E45/2363, E45/3488, E45/5700, Forrest, Hannibal, Hazelby, Khasanah, L 45/400, L 45/401, L 45/404, L 45/409, L 45/416, L 45/448, Lucky 13, M 45/1260, M45/1230, M45/1231, Melted Caravan, Ngungaju, Perfect Stranger, Pilgangoora, Ridge, South pit, Southern Ridge, Ultra, Utara, Venta",37500,,,,Pilbara Minerals Ltd.,Australia,1.4 Moderate,Operating,Active,"Lithium, Tantalum, Iron Ore, Spodumene, Gold, Silver, Copper",Lithium,483000.0,tonnes,7828.5,6/30/19,"Open Pit, Underground, Dump, Stock Pile","-21.012960,118.910860",Exact,,,2018,2035,
Hot Spring Mining S.A. de C.V.,530114421,Private,Mexico,No,Hot Spring Mining S.A. de C.V.,Saldivar Salar,,87502,,10.0,0,Advance Lithium Corp.,Mexico,2.8 High,Target Outline,Active,"Lithium, Borates, Potash",Lithium,,,,,Project,"23.358260,-102.177160",Exact,,,,,
Huni-Urib Holdings (Pty) Ltd.,1869337143,Private,Namibia,No,Huni-Urib Holdings (Pty) Ltd.,Karibib,"Berger, EPL 5439, EPL5349, EPL5439, Fricke's, Helikon, Helikon 1, Helikon 2, Helikon 3, Helikon 4, Helikon 5, Homestead, Marble Hill, ML 204, ML204, Rubicon, Shalom",37323,,20.0,20,Lepidico Ltd.,Namibia,2.0 Elevated,Construction Planned,Active,"Lithium, Tantalum, Cerium, Niobium, Beryllium, Lanthanides, Caesium, Rubidium, Potash, Spodumene, Tin",Lithium,59833.0,tonnes,1128.8,2/2/23,"Stock Pile, Openn Pit, Underground","-22.104250,15.996740",Exact,,,2024,2042,
IGO Limited,7643883,Public,Australia,No,IGO Limited,Greenbushes,"Balingup, Brockman Hwy, C1 Pit, C2 Pit, C3 Pit, Central Lode, Cornwall, Cornwall Hill, E70/4690, Kapanga, Talison, White Wells",37326,,24.99,24.99,Talison Minerals Pty. ltd. ,Australia,1.4 Moderate,Operating,Active,"Lithium, Tantalum, Spodumene, Tin",Lithium,6600000.0,tonnes,106972.8,12/31/23,"Open Pit, Underground","-33.854340,116.060940",Exact,,,1983,2043,
IGO Limited,7643883,Public,Australia,No,IGO Limited,Mt Holland - Lithium,"Blue Haze, Blue Vein, Blue Vein South, Bounty, Brie, Bushpig, Cheeses, Covalent, Darjeeling, Diemens, E77/1400, E77/2099, E77/2244, Earl Grey, Jasmine, M77/1065, M77/1066, M77/1080, Main Pit, Mount Holland, Mt Holland, Mt Hope, Mt. Holland, Prince of Wales, Razorback, South Holland, Stilton, Tasman, Texas, Twinings Group, Ultimate, Van Uden North",78244,,,,Covalent Lithium Pty. Ltd.,Australia,1.4 Moderate,Preproduction - Operating,Active,"Lithium, Tantalum, Spodumene, Iron Ore",Lithium,2737000.0,tonnes,45445.8,12/31/23,Open Pit,"-32.083930,119.746670",Exact,,,2023,2067,
IberAmerican Lithium Corp.,1846418845,Public,Canada,No,IberAmerican Lithium Corp.,Alberta II,N5186,81969,,100.0,100,IberAmerican Lithium Corp.,Spain,1.9 Elevated,Reserves Development,Active,"Lithium, Tin, Tantalum",Lithium,54149.0,tonnes,1307.9,6/1/12,Project,"42.415150,-8.295530",Exact,,,,,
Imagine Lithium Inc.,22712790,Public,Canada,No,Imagine Lithium Inc.,Jackpot,"500 Zone, Blue Sky, Carrot Lake, Casino Royale, Central No. 1 Dike, Central No. 2 Dike, Dealer, Golden Dory, Jackpot Main, Jackpot No. 1, Jackpot No. 2, Jackpot North A, Jackpot North B, Jackpot West, New Kirk, North Dike, Point, Roulette, Salo, Slots, South No. 1 Dike, Vegan",37518,,100.0,100,Imagine Lithium Inc.,Canada,1.4 Moderate,Reserves Development,Active,Lithium,Lithium,75700.0,tonnes,1226.9,9/3/24,Open Pit,"49.296150,-87.945730",Exact,,,,,
Imagine Lithium Inc.,22712790,Public,Canada,No,Imagine Lithium Inc.,Cross Lake,Liz,77843,,100.0,100,Imagine Lithium Inc.,Canada,1.4 Moderate,Exploration,Active,"Lithium, Niobium, Tantalum",Lithium,,,,,Project,"54.586390,-97.933010",Exact,,,,,
Imagine Lithium Inc.,22712790,Public,Canada,No,Imagine Lithium Inc.,Electra,"Agua Fria, Elektra, Northern Agua Fria, Tecolote, Tule, West Flank",78152,,100.0,100,Imagine Lithium Inc.,Mexico,2.8 High,Target Outline,Active,Lithium,Lithium,,,,,Project,"29.407400,-109.019850",Exact,,,,,
